Sex,Pclass,Age Group,Survived
male,1,0,0
male,3,2,0
male,3,3,0
male,3,0,0
male,3,3,0
female,1,3,1
female,2,4,0
female,3,0,1
female,3,0,1
male,3,5,0
male,2,3,0
female,3,5,0
male,3,4,0
male,3,0,0
male,3,4,0
female,1,7,1
female,3,0,1
female,3,0,1
female,1,3,1
male,1,3,1
male,3,2,0
male,3,2,0
male,1,3,0
female,3,1,0
female,1,0,1
female,3,3,1
male,1,3,0
male,3,3,0
male,3,2,0
female,1,5,1
female,3,1,1
male,3,4,0
female,1,4,1
male,3,0,0
male,2,2,0
male,3,1,0
female,2,4,1
male,3,0,0
female,2,2,1
male,1,4,1
male,3,3,1
male,3,3,0
female,1,3,1
female,3,3,1
male,3,3,0
female,3,4,0
male,2,5,0
male,2,3,0
female,2,3,1
male,3,4,1
male,3,3,0
female,3,3,0
male,3,3,0
female,3,3,0
male,2,4,0
male,3,6,0
male,2,1,1
male,3,3,0
female,3,0,0
male,3,0,0
male,3,0,0
female,1,4,1
male,2,0,0
male,3,5,1
female,3,0,0
female,2,4,1
female,2,2,1
male,2,4,0
female,3,2,0
male,3,0,0
male,3,3,0
male,3,3,0
female,3,3,0
male,3,2,0
male,3,0,0
female,2,3,1
female,2,2,1
male,3,0,0
male,3,4,1
male,1,3,1
female,3,0,1
female,2,5,1
male,3,2,0
male,1,6,0
female,1,2,1
female,3,3,0
female,2,3,1
male,1,7,0
male,2,4,0
female,2,5,1
male,3,3,0
male,3,3,0
female,2,3,1
male,3,0,1
male,1,1,1
female,2,2,1
male,1,4,1
female,3,1,1
male,1,6,1
male,2,4,0
male,3,0,0
male,1,4,0
male,1,5,1
male,3,0,0
male,3,3,1
male,1,7,0
female,1,0,1
female,2,6,1
male,3,0,0
male,1,5,1
male,3,4,0
male,1,5,0
male,2,5,0
male,3,0,0
male,3,4,0
male,2,0,0
male,1,6,0
male,3,0,0
female,3,1,1
male,3,0,0
male,3,4,0
female,2,4,1
female,2,3,1
female,3,3,0
male,1,0,0
male,2,4,0
male,3,3,0
male,3,3,0
female,3,1,1
male,3,1,0
male,2,0,0
male,3,6,0
female,3,7,1
male,1,3,1
female,3,0,0
female,1,4,1
male,1,6,0
male,3,4,0
male,3,1,1
male,3,0,0
male,3,3,0
male,1,6,0
male,1,8,0
male,3,3,0
male,3,0,0
female,1,6,1
male,3,0,0
female,1,3,0
male,3,3,0
male,3,2,0
female,3,3,0
female,3,0,0
female,3,4,0
female,1,2,1
male,1,2,0
female,2,4,1
male,1,0,1
male,3,3,0
male,3,3,1
male,3,3,1
male,3,0,0
male,1,4,1
female,1,6,1
male,3,3,0
male,1,5,0
female,2,4,1
male,3,0,0
female,2,4,1
male,3,4,0
female,1,4,1
male,3,3,0
male,3,0,0
female,1,5,1
male,3,0,0
male,3,5,0
female,2,6,1
male,1,0,0
male,3,4,0
male,2,3,0
female,2,1,1
male,3,0,0
male,3,2,0
female,3,0,1
female,3,4,0
female,2,1,1
male,1,5,0
female,1,4,1
male,3,0,0
female,1,3,1
female,1,4,1
female,3,1,0
female,3,2,0
male,2,4,1
male,1,6,0
male,1,7,0
female,2,2,1
male,2,0,1
male,3,4,0
male,2,1,1
male,1,2,1
male,2,3,0
male,3,0,0
male,3,3,1
female,3,3,1
male,1,7,0
female,1,5,1
male,1,0,0
female,1,4,1
female,3,4,1
male,3,0,0
male,3,5,0
male,2,3,0
male,3,0,0
female,3,0,0
male,3,3,0
male,3,2,0
female,3,3,0
male,3,0,0
male,3,4,1
male,2,7,1
female,1,6,1
male,1,4,1
female,3,0,1
male,3,2,0
male,3,2,0
female,2,4,1
female,1,4,1
female,3,0,0
male,3,4,1
female,2,3,1
female,1,4,1
male,2,6,0
male,1,4,0
male,3,0,0
female,1,2,1
male,2,5,0
male,1,7,1
male,3,3,0
male,3,0,0
male,3,4,0
female,1,6,1
male,3,5,0
female,3,0,0
male,2,4,0
male,3,4,0
female,2,0,1
male,3,5,0
male,3,0,0
male,1,5,1
female,2,3,1
male,3,0,0
male,1,0,0
male,3,5,0
male,1,4,1
male,3,4,0
male,3,4,0
male,1,3,1
female,2,3,1
female,1,5,1
female,3,4,0
male,3,0,0
female,3,0,1
male,3,0,0
male,3,4,0
female,2,3,1
male,3,4,0
female,3,3,0
female,2,1,1
male,2,3,0
male,3,3,0
male,1,5,1
male,3,3,1
male,3,3,0
male,3,3,0
male,1,7,0
male,2,6,0
female,1,3,1
male,3,3,0
male,3,0,0
male,1,9,1
male,3,6,0
male,1,4,1
male,1,0,0
female,3,1,0
female,2,3,1
male,3,4,0
male,2,4,0
female,3,5,0
male,3,0,0
male,3,3,0
female,1,3,1
female,3,1,0
male,3,0,1
female,3,1,1
male,1,5,1
male,3,2,0
male,1,6,1
male,3,0,0
female,3,3,1
male,3,0,0
female,2,2,1
male,3,3,0
female,3,0,1
female,3,2,0
male,2,3,0
male,3,0,0
female,3,4,0
male,2,3,0
male,1,6,0
male,1,6,1
male,3,5,0
male,1,5,0
male,3,4,0
male,3,3,1
male,2,4,0
male,2,3,0
male,3,0,0
male,3,5,0
female,1,0,1
female,2,5,1
male,1,4,0
male,2,8,0
male,2,4,1
male,2,0,0
male,3,2,0
male,3,3,0
female,3,2,1
female,3,5,0
male,1,4,1
female,3,0,0
male,1,3,1
male,3,3,0
male,3,2,0
male,2,7,0
male,2,3,0
male,3,2,0
male,3,2,0
male,3,2,0
female,1,2,1
male,1,4,1
female,3,1,1
male,3,0,1
male,3,3,0
male,1,7,0
male,2,6,0
male,3,5,0
female,3,0,1
male,1,5,0
male,3,5,0
female,1,2,1
male,1,4,1
female,3,2,0
male,3,3,0
male,3,3,0
male,2,4,0
female,2,5,1
male,1,5,1
female,1,3,1
male,3,0,1
female,1,3,1
male,1,0,0
male,1,5,1
male,3,3,0
male,2,6,0
male,3,2,0
female,1,4,1
female,2,3,1
male,3,0,0
male,3,4,0
female,2,1,1
male,3,2,0
male,2,4,0
male,2,6,0
male,1,3,1
male,3,3,0
female,2,4,1
female,3,0,1
male,2,3,0
female,3,3,0
female,1,3,1
male,3,2,0
male,2,0,0
male,2,3,0
male,2,3,0
male,3,3,0
female,3,5,0
male,1,4,1
male,3,0,0
male,3,0,0
male,1,0,1
male,1,4,0
female,1,3,1
male,3,3,0
male,3,4,1
male,1,8,0
male,3,2,0
female,2,4,1
male,1,2,0
male,3,4,0
female,2,1,1
male,3,1,1
male,3,4,0
male,3,3,0
female,2,5,1
male,2,1,1
male,3,3,0
male,2,2,0
male,3,4,0
female,1,4,1
male,3,0,0
male,3,5,0
male,3,3,1
female,1,4,1
male,3,2,0
female,1,6,1
male,1,0,0
female,3,4,0
male,3,0,0
male,3,4,0
male,3,3,0
male,3,5,0
female,2,6,0
male,3,0,0
female,2,6,1
male,3,2,0
male,3,0,0
female,3,1,1
male,3,0,0
female,1,5,1
female,3,2,1
female,1,2,1
male,1,3,0
male,3,0,0
male,3,3,0
male,3,3,0
female,3,2,1
male,3,1,0
male,3,1,1
male,1,5,0
male,3,0,0
male,2,2,0
female,3,0,0
male,1,0,0
male,3,3,0
male,2,4,0
female,1,5,1
female,3,4,1
male,3,4,0
female,3,4,0
male,2,4,0
female,2,4,1
male,1,2,1
male,3,1,1
male,3,3,1
male,3,4,0
male,1,4,0
female,3,2,0
male,2,4,0
female,1,4,1
male,3,3,0
male,3,4,0
male,2,4,0
female,3,1,0
male,3,4,0
male,1,0,0
female,3,3,0
male,2,4,0
male,3,5,0
male,3,2,0
female,1,6,1
male,3,3,1
male,1,4,0
female,3,3,1
male,3,1,0
male,3,0,0
male,3,0,0
male,2,1,1
male,3,0,1
female,1,7,1
female,3,2,1
male,2,1,1
male,3,0,0
male,3,3,0
male,3,2,0
female,1,4,1
male,3,3,0
male,3,0,0
male,3,4,1
male,1,0,1
male,3,3,0
male,2,2,0
female,1,4,1
male,3,4,0
male,3,2,0
male,3,5,0
male,3,0,0
male,3,4,0
male,2,3,0
female,1,0,1
male,3,1,0
male,3,8,0
female,3,1,0
female,1,2,1
female,2,5,0
female,3,2,1
female,1,5,1
male,1,6,1
female,3,3,1
male,3,0,0
male,3,5,0
male,2,3,0
female,1,5,1
female,3,0,0
male,2,3,0
female,2,5,1
female,2,3,1
male,1,4,0
male,3,0,0
male,3,1,1
male,3,3,0
female,1,5,1
male,1,4,0
male,3,5,0
female,2,3,1
female,3,2,1
male,3,3,0
male,3,2,0
male,3,0,0
female,1,6,1
female,2,3,1
male,3,4,0
female,3,3,0
male,2,3,0
male,3,3,0
female,3,4,0
male,2,3,0
female,1,2,1
female,3,0,0
male,1,3,1
male,3,4,0
